;;gcomponents;gnontrivial;gpredicates;grules;gconstraints;nbredgefacts;nbredgepred;defjoin;normalization;heuristic;dw;label
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_25_15.lp;14;1;9;5;2;213;2;0;semi;min-degree;14;0
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_25_15.lp;14;1;9;5;2;213;2;1;weak;min-degree;14;5
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_25_15.lp;14;1;9;5;2;213;2;0;weak;min-degree;14;0
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_25_15.lp;14;1;9;5;2;213;2;0;none;min-degree;14;4
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_2.lp;14;1;9;5;2;7;2;1;semi;min-degree;0;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_2.lp;14;1;9;5;2;7;2;0;semi;min-degree;0;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_2.lp;14;1;9;5;2;7;2;1;weak;min-degree;0;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_2.lp;14;1;9;5;2;7;2;0;weak;min-degree;0;1
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_2.lp;14;1;9;5;2;7;2;0;none;min-degree;0;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_4.lp;14;1;9;5;2;11;2;1;semi;min-degree;1;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_4.lp;14;1;9;5;2;11;2;0;semi;min-degree;1;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_4.lp;14;1;9;5;2;11;2;1;weak;min-degree;1;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_4.lp;14;1;9;5;2;11;2;0;weak;min-degree;1;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_4.lp;14;1;9;5;2;11;2;0;none;min-degree;1;4
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_1.lp;14;1;9;5;2;5;2;1;semi;min-degree;0;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_1.lp;14;1;9;5;2;5;2;0;semi;min-degree;0;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_1.lp;14;1;9;5;2;5;2;1;weak;min-degree;0;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_1.lp;14;1;9;5;2;5;2;0;weak;min-degree;0;5
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_5_1.lp;14;1;9;5;2;5;2;0;none;min-degree;0;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_4.lp;14;1;9;5;2;24;2;1;semi;min-degree;3;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_4.lp;14;1;9;5;2;24;2;0;semi;min-degree;3;0
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_4.lp;14;1;9;5;2;24;2;1;weak;min-degree;3;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_4.lp;14;1;9;5;2;24;2;0;weak;min-degree;3;3
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_4.lp;14;1;9;5;2;24;2;0;none;min-degree;3;5
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_8.lp;14;1;9;5;2;34;2;1;semi;min-degree;4;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_8.lp;14;1;9;5;2;34;2;0;semi;min-degree;4;2
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_8.lp;14;1;9;5;2;34;2;1;weak;min-degree;4;6
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_8.lp;14;1;9;5;2;34;2;0;weak;min-degree;4;4
/home/rossegg/test_encodings/dynamic.lp;/home/rossegg/instances/sat_10_8.lp;14;1;9;5;2;34;2;0;none;min-degree;4;4
