;;gcomponents;gnontrivial;gpredicates;grules;gconstraints;nbredgefacts;nbredgepred;defjoin;normalization;heuristic;dw;jumpy;frumpy;crafty;none;nopre
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_012.lp;14.0;1.0;9.0;5.0;2.0;48.0;1.0;1.0;weak;min-degree;6.0;2.34;2.36;2.33;2.35;2.60
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_012.lp;14.0;1.0;9.0;5.0;2.0;48.0;1.0;0.0;weak;min-degree;6.0;24.96;25.80;24.83;25.68;32.79
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_012.lp;14.0;1.0;9.0;5.0;2.0;48.0;1.0;0.0;none;min-degree;6.0;0.08;0.08;0.07;0.07;0.08
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_013.lp;14.0;1.0;9.0;5.0;2.0;52.0;1.0;1.0;semi;min-degree;6.0;2.29;2.29;2.28;2.29;2.51
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_013.lp;14.0;1.0;9.0;5.0;2.0;52.0;1.0;0.0;semi;min-degree;6.0;22.60;22.78;22.61;22.82;28.14
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_013.lp;14.0;1.0;9.0;5.0;2.0;52.0;1.0;1.0;weak;min-degree;6.0;2.18;2.20;2.18;2.19;2.43
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_013.lp;14.0;1.0;9.0;5.0;2.0;52.0;1.0;0.0;weak;min-degree;6.0;26.44;26.92;26.54;27.04;35.87
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_013.lp;14.0;1.0;9.0;5.0;2.0;52.0;1.0;0.0;none;min-degree;6.0;0.24;0.23;0.23;0.23;0.24
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_016.lp;14.0;1.0;9.0;5.0;2.0;36.0;1.0;1.0;semi;min-degree;5.0;0.15;0.15;0.15;0.15;0.16
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_016.lp;14.0;1.0;9.0;5.0;2.0;36.0;1.0;0.0;semi;min-degree;5.0;10.36;10.57;10.31;10.50;12.71
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_016.lp;14.0;1.0;9.0;5.0;2.0;36.0;1.0;1.0;weak;min-degree;5.0;0.17;0.17;0.16;0.16;0.18
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_016.lp;14.0;1.0;9.0;5.0;2.0;36.0;1.0;0.0;weak;min-degree;5.0;11.80;12.08;12.04;12.06;15.19
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_016.lp;14.0;1.0;9.0;5.0;2.0;36.0;1.0;0.0;none;min-degree;5.0;0.04;0.03;0.03;0.03;0.03
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_019.lp;14.0;1.0;9.0;5.0;2.0;34.0;1.0;1.0;semi;min-degree;4.0;0.02;0.01;0.01;0.01;0.02
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_019.lp;14.0;1.0;9.0;5.0;2.0;34.0;1.0;0.0;semi;min-degree;4.0;11.58;11.80;11.64;11.83;13.97
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_019.lp;14.0;1.0;9.0;5.0;2.0;34.0;1.0;1.0;weak;min-degree;4.0;0.14;0.13;0.13;0.13;0.13
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_019.lp;14.0;1.0;9.0;5.0;2.0;34.0;1.0;0.0;weak;min-degree;4.0;13.04;13.53;12.92;13.41;18.06
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.20/instance_n15_p0.20_019.lp;14.0;1.0;9.0;5.0;2.0;34.0;1.0;0.0;none;min-degree;4.0;0.01;0.01;0.01;0.01;0.01
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_001.lp;14.0;1.0;9.0;5.0;2.0;53.0;1.0;1.0;semi;min-degree;6.0;0.69;0.69;0.69;0.70;0.73
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_001.lp;14.0;1.0;9.0;5.0;2.0;53.0;1.0;0.0;semi;min-degree;6.0;28.09;29.20;28.07;30.57;36.90
../dominating_set_benchmark/dominating_set_dynamic.lp;instances/size_15/probability_0.25/instance_n15_p0.25_001.lp;14.0;1.0;9.0;5.0;2.0;53.0;1.0;1.0;weak;min-degree;6.0;0.70;0.70;0.70;0.71;0.76
