@relation whatever

@attribute gcomponents numeric
@attribute gnontrivial numeric
@attribute gpredicates numeric
@attribute grules numeric
@attribute gconstraints numeric
@attribute nbredgefacts numeric
@attribute nbredgepred numeric
@attribute defjoin { 1 , 0 } 
@attribute normalization { semi , weak , none } 
@attribute heuristic { min-degree } 
@attribute dw numeric
@attribute label { 0 , 4 , 3 , 2 , 5 , 1 } 


@data
14 , 1 , 9 , 5 , 2 , 24 , 2 , 1 , weak , min-degree , 3 , 5 
14 , 1 , 9 , 5 , 2 , 24 , 2 , 0 , weak , min-degree , 3 , 3 
14 , 1 , 9 , 5 , 2 , 24 , 2 , 0 , none , min-degree , 3 , 5 
14 , 1 , 9 , 5 , 2 , 34 , 2 , 1 , semi , min-degree , 4 , 5 
14 , 1 , 9 , 5 , 2 , 34 , 2 , 0 , semi , min-degree , 4 , 2 
14 , 1 , 9 , 5 , 2 , 34 , 2 , 1 , weak , min-degree , 4 , 5 
14 , 1 , 9 , 5 , 2 , 34 , 2 , 0 , weak , min-degree , 4 , 4 
14 , 1 , 9 , 5 , 2 , 34 , 2 , 0 , none , min-degree , 4 , 4 
14 , 1 , 9 , 5 , 2 , 26 , 2 , 1 , semi , min-degree , 1 , 5 
14 , 1 , 9 , 5 , 2 , 26 , 2 , 0 , semi , min-degree , 1 , 4 
14 , 1 , 9 , 5 , 2 , 26 , 2 , 1 , weak , min-degree , 1 , 5 
14 , 1 , 9 , 5 , 2 , 26 , 2 , 0 , weak , min-degree , 1 , 2 
14 , 1 , 9 , 5 , 2 , 26 , 2 , 0 , none , min-degree , 1 , 5 
14 , 1 , 9 , 5 , 2 , 133 , 2 , 1 , semi , min-degree , 9 , 3 
14 , 1 , 9 , 5 , 2 , 133 , 2 , 0 , semi , min-degree , 9 , 0 
14 , 1 , 9 , 5 , 2 , 133 , 2 , 1 , weak , min-degree , 9 , 3 
14 , 1 , 9 , 5 , 2 , 133 , 2 , 0 , weak , min-degree , 9 , 5 
14 , 1 , 9 , 5 , 2 , 133 , 2 , 0 , none , min-degree , 9 , 4 
